section_id,ge_code
2025_Spring_26540,GE-3
2025_Spring_26540,GE-4
2025_Spring_26540,GE-7
2025_Spring_60080,GE-3
2025_Spring_33263,GE-1A
2025_Spring_33207,GE-1A
2025_Spring_33320,GE-1A
2025_Spring_05544,GE-1B
2025_Spring_33367,GE-1A
2025_Spring_33373,GE-1A
2025_Spring_33420,GE-1A
2025_Spring_33423,GE-1A
2025_Spring_33432,GE-1A
2025_Spring_33164,GE-1A
2025_Spring_20196,GE-1B
2025_Spring_26660,GE-1B
2025_Spring_35740,GE-2
2025_Spring_35740,GE-5B
2025_Spring_35745,GE-2
2025_Spring_35745,GE-5B
2025_Spring_33270,GE-1A
2025_Spring_69560,GE-1B
2025_Spring_02199,GE-4
2025_Spring_04294,GE-1B
2025_Spring_03046,GE-4
2025_Spring_03046,GE-8
2025_Spring_03040,GE-4
2025_Spring_03040,GE-8
2025_Spring_13254,GE-1B
2025_Spring_13258,GE-1B
2025_Spring_33321,GE-1A
2025_Spring_33332,GE-1A
2025_Spring_33333,GE-1A
2025_Spring_33358,GE-1A
2025_Spring_33359,GE-1A
2025_Spring_05755,GE-1B
2025_Spring_67115,GE-3
2025_Spring_47120,GE-2
2025_Spring_47120,GE-5A
2025_Spring_04274,GE-4
2025_Spring_04274,GE-7
2025_Spring_47240,GE-2
2025_Spring_47240,GE-5A
2025_Spring_62010,GE-3
2025_Spring_62010,GE-8
2025_Spring_28100,GE-4
2025_Spring_28100,GE-7
2025_Spring_28100,GE-8
2025_Spring_28123,GE-1A
2025_Spring_28823,GE-6
2025_Spring_81008,GE-2
2025_Spring_81012,GE-5A
2025_Spring_69570,GE-1B
2025_Spring_27608,GE-1A
2025_Spring_27807,GE-1A
2025_Spring_29902,GE-1B
2025_Spring_33313,GE-1A
2025_Spring_33314,GE-1A
2025_Spring_65060,GE-5B
2025_Spring_26600,GE-4
2025_Spring_01032,GE-4
2025_Spring_35640,GE-5B
2025_Spring_33395,GE-1A
2025_Spring_33389,GE-1A
2025_Spring_33390,GE-1A
2025_Spring_33392,GE-1A
2025_Spring_33436,GE-1A
2025_Spring_35870,GE-1B
2025_Spring_28902,GE-6
2025_Spring_24865,GE-8
2025_Spring_40220,GE-2
2025_Spring_40220,GE-5A
2025_Spring_53050,GE-3
2025_Spring_47200,GE-2
2025_Spring_47200,GE-5A
2025_Spring_53070,GE-8
2025_Spring_60040,GE-3
2025_Spring_35780,GE-5B
2025_Spring_67085,GE-3
2025_Spring_67085,GE-8
2025_Spring_67460,GE-1B
2025_Spring_33374,GE-1A
2025_Spring_33206,GE-1A
2025_Spring_33225,GE-1A
2025_Spring_33244,GE-1A
2025_Spring_35900,GE-1B
2025_Spring_33229,GE-1A
2025_Spring_33230,GE-1A
2025_Spring_70110,GE-5B
2025_Spring_70130,GE-5B
2025_Spring_70365,GE-1B
2025_Spring_62085,GE-3
2025_Spring_37100,GE-5B
2025_Spring_31318,GE-6
2025_Spring_31365,GE-4
2025_Spring_31365,GE-8
2025_Spring_37200,GE-5A
2025_Spring_67225,GE-1B
2025_Spring_70555,GE-1B
2025_Spring_05150,GE-2
2025_Spring_05346,GE-1B
2025_Spring_06010,GE-1B
2025_Spring_28110,GE-4
2025_Spring_28110,GE-7
2025_Spring_28110,GE-8
2025_Spring_35620,GE-2
2025_Spring_33302,GE-1A
2025_Spring_33349,GE-1A
2025_Spring_81002,GE-3
2025_Spring_24866,GE-8
2025_Spring_28837,GE-6
2025_Spring_33214,GE-1A
2025_Spring_05345,GE-1B
2025_Spring_33434,GE-1A
2025_Spring_33439,GE-1A
2025_Spring_33429,GE-1A
2025_Spring_25110,GE-4
2025_Spring_25110,GE-7
2025_Spring_64020,GE-3
2025_Spring_64020,GE-8
2025_Spring_05731,GE-1B
2025_Spring_26670,GE-1B
2025_Spring_31256,GE-6
